🕒 Transcription Log
[132/58949] SKIPPED: tmp03ey7zkd.wav
[133/58949] SKIPPED: tmp03f4pn7q.wav
[134/58949] SKIPPED: tmp03fkx02_.wav
[135/58949] SKIPPED: tmp03gruot4.wav
[136/58949] SKIPPED: tmp03h8nmyy.wav
[137/58949] SKIPPED: tmp03jndvou.wav
[138/58949] SKIPPED: tmp03jqc9z_.wav
[139/58949] SKIPPED: tmp03k44w5z.wav
[140/58949] SKIPPED: tmp03mw8pc7.wav
[141/58949] SKIPPED: tmp03n1t48m.wav
[142/58949] SKIPPED: tmp03neoaa0.wav
[143/58949] SKIPPED: tmp03pg618g.wav
[144/58949] SKIPPED: tmp03pxwbfq.wav
[145/58949] SKIPPED: tmp03q50fzf.wav
[146/58949] SKIPPED: tmp03r2wfvd.wav
[147/58949] SKIPPED: tmp03rnwtgj.wav
[148/58949] SKIPPED: tmp03ubqyiz.wav
[149/58949] SKIPPED: tmp03v36v8e.wav
[150/58949] SKIPPED: tmp03w5_98q.wav
[151/58949] SKIPPED: tmp03xt98wf.wav
[152/58949] SKIPPED: tmp03xummdj.wav
[153/58949] SKIPPED: tmp03yzr2vt.wav
[154/58949] SKIPPED: tmp03zvuont.wav
[155/58949] SKIPPED: tmp040g0y_v.wav
[156/58949] SKIPPED: tmp040tp1ce.wav
[157/58949] SKIPPED: tmp041aff2c.wav
[158/58949] SKIPPED: tmp042g6u3a.wav
[159/58949] SKIPPED: tmp044d7r6s.wav
[160/58949] SKIPPED: tmp046pzds5.wav
[161/58949] SKIPPED: tmp046rz7zs.wav
[162/58949] SKIPPED: tmp046sgu90.wav
[163/58949] SKIPPED: tmp0483tzf_.wav
[164/58949] SKIPPED: tmp048d0wqy.wav
[165/58949] SKIPPED: tmp048hhz7o.wav
[166/58949] SKIPPED: tmp048rwfg2.wav
[167/58949] SKIPPED: tmp04abrgv2.wav
[168/58949] SKIPPED: tmp04acwdfw.wav
[169/58949] SKIPPED: tmp04ayntot.wav
[170/58949] SKIPPED: tmp04ba30s5.wav
[171/58949] SKIPPED: tmp04bw7etd.wav
[172/58949] SKIPPED: tmp04c604x0.wav
[173/58949] SKIPPED: tmp04crtwch.wav
[174/58949] SKIPPED: tmp04dwoavs.wav
[175/58949] SKIPPED: tmp04ekm7ah.wav
[176/58949] SKIPPED: tmp04f5ql88.wav
[177/58949] SKIPPED: tmp04f6zzrb.wav
[178/58949] SKIPPED: tmp04fax05b.wav
[179/58949] SKIPPED: tmp04fx0sgz.wav
[180/58949] SKIPPED: tmp04h3sgor.wav
[181/58949] SKIPPED: tmp04heu9oy.wav
[182/58949] SKIPPED: tmp04hmj5a9.wav
[183/58949] SKIPPED: tmp04l7gflw.wav
[184/58949] SKIPPED: tmp04lho1y1.wav
[185/58949] SKIPPED: tmp04lvctjw.wav
[186/58949] SKIPPED: tmp04mh2sid.wav
[187/58949] SKIPPED: tmp04n1lwwl.wav
[188/58949] SKIPPED: tmp04ougxpk.wav
[189/58949] SKIPPED: tmp04oya1_y.wav
[190/58949] SKIPPED: tmp04q0r6x1.wav
[191/58949] SKIPPED: tmp04qa5e6x.wav
[192/58949] SKIPPED: tmp04qb_r5o.wav
[193/58949] SKIPPED: tmp04r2frp0.wav
[194/58949] SKIPPED: tmp04rba17j.wav
[195/58949] SKIPPED: tmp04s918e6.wav
[196/58949] SKIPPED: tmp04slq2np.wav
[197/58949] SKIPPED: tmp04svbafn.wav
[198/58949] SKIPPED: tmp04t6mqhl.wav
[199/58949] SKIPPED: tmp04u8a49l.wav
[200/58949] SKIPPED: tmp04vt475n.wav
[201/58949] SKIPPED: tmp04y7llc1.wav
[202/58949] SKIPPED: tmp05161lai.wav
[203/58949] SKIPPED: tmp051qglj4.wav
[204/58949] SKIPPED: tmp05382n9p.wav
[205/58949] SKIPPED: tmp053ag5_j.wav
[206/58949] SKIPPED: tmp0548dqpe.wav
[207/58949] SKIPPED: tmp054a1vdz.wav
[208/58949] SKIPPED: tmp054a224d.wav
[209/58949] SKIPPED: tmp054odhna.wav
[210/58949] SKIPPED: tmp055fin4x.wav
[211/58949] SKIPPED: tmp056fen5z.wav
[212/58949] SKIPPED: tmp056gt_k9.wav
[213/58949] SKIPPED: tmp056hyven.wav
[214/58949] SKIPPED: tmp057rfjre.wav
[215/58949] SKIPPED: tmp059hg3df.wav
[216/58949] SKIPPED: tmp059j0jze.wav
[217/58949] SKIPPED: tmp059sotoo.wav
[218/58949] SKIPPED: tmp05br4vu6.wav
[219/58949] SKIPPED: tmp05bzbi3o.wav
[220/58949] SKIPPED: tmp05cr20bg.wav
[221/58949] SKIPPED: tmp05dw1vf2.wav
[222/58949] SKIPPED: tmp05e4nyyq.wav
[223/58949] SKIPPED: tmp05efifnl.wav
[224/58949] SKIPPED: tmp05eikelv.wav
[225/58949] SKIPPED: tmp05ekoyqs.wav
[226/58949] SKIPPED: tmp05euk8n8.wav
[227/58949] SKIPPED: tmp05ex5kd4.wav
[228/58949] SKIPPED: tmp05f22cmo.wav
[229/58949] SKIPPED: tmp05fk08fu.wav
[230/58949] SKIPPED: tmp05gqqg5g.wav
[231/58949] SKIPPED: tmp05h8_ycz.wav
[232/58949] SKIPPED: tmp05k8kk28.wav
[233/58949] SKIPPED: tmp05kd9am7.wav
[234/58949] SKIPPED: tmp05l620w1.wav
[235/58949] SKIPPED: tmp05mfjjtg.wav
[236/58949] SKIPPED: tmp05mtjao_.wav
[237/58949] SKIPPED: tmp05o5xbn1.wav
[238/58949] SKIPPED: tmp05qhfpq6.wav
[239/58949] SKIPPED: tmp05qnhmzj.wav
[240/58949] SKIPPED: tmp05rwez2f.wav
[241/58949] SKIPPED: tmp05vqy5sq.wav
[242/58949] SKIPPED: tmp05wpbazh.wav
[243/58949] SKIPPED: tmp05wu97hq.wav
[244/58949] SKIPPED: tmp05y81iu1.wav
[245/58949] SKIPPED: tmp05z0ldzw.wav
[246/58949] SKIPPED: tmp05z9wltc.wav
[247/58949] SKIPPED: tmp05zmn3hm.wav
[248/58949] SKIPPED: tmp06097k1v.wav
[249/58949] SKIPPED: tmp060bb7xs.wav
[250/58949] SKIPPED: tmp0617jyqd.wav
[251/58949] SKIPPED: tmp061kv4gt.wav
[252/58949] SKIPPED: tmp062r3ghc.wav
[253/58949] SKIPPED: tmp062zoux2.wav
[254/58949] SKIPPED: tmp063etoft.wav
[255/58949] SKIPPED: tmp066m8o_b.wav
[256/58949] SKIPPED: tmp067xk3hp.wav
[257/58949] SKIPPED: tmp067xufiq.wav
[258/58949] SKIPPED: tmp069ub7lk.wav
[259/58949] SKIPPED: tmp06amybpk.wav
[260/58949] SKIPPED: tmp06aoidyd.wav
[261/58949] SKIPPED: tmp06aw47og.wav
[262/58949] SKIPPED: tmp06bwnfqc.wav
[263/58949] SKIPPED: tmp06b__cik.wav
[264/58949] SKIPPED: tmp06c7zd0d.wav
[265/58949] SKIPPED: tmp06gq2tok.wav
[266/58949] SKIPPED: tmp06il8hav.wav
[267/58949] SKIPPED: tmp06lbqrz4.wav
[268/58949] SKIPPED: tmp06lhc14q.wav
[269/58949] SKIPPED: tmp06mj2ole.wav
[270/58949] SKIPPED: tmp06oqjj26.wav
[271/58949] SKIPPED: tmp06ox4tpu.wav
[272/58949] SKIPPED: tmp06oyyirr.wav
[273/58949] SKIPPED: tmp06p26rh1.wav
[274/58949] SKIPPED: tmp06q5btkv.wav
[275/58949] SKIPPED: tmp06qv5qcl.wav
[276/58949] SKIPPED: tmp06rd7z44.wav
[277/58949] SKIPPED: tmp06s8i77_.wav
[278/58949] SKIPPED: tmp06sqek2_.wav
[279/58949] SKIPPED: tmp06udaptt.wav
[280/58949] SKIPPED: tmp06wjkprn.wav
[281/58949] SKIPPED: tmp06x7c383.wav
[282/58949] SKIPPED: tmp06xu6n66.wav
[283/58949] SKIPPED: tmp06x_qxkp.wav
[284/58949] SKIPPED: tmp06y3p6nv.wav
[285/58949] SKIPPED: tmp06_25o3l.wav
[286/58949] SKIPPED: tmp06_du1ze.wav
[287/58949] SKIPPED: tmp06_y33gk.wav
[288/58949] SKIPPED: tmp0723gf3z.wav
[289/58949] SKIPPED: tmp072t6u9i.wav
[290/58949] SKIPPED: tmp0744g7l6.wav
[291/58949] SKIPPED: tmp074hqh4i.wav
[292/58949] SKIPPED: tmp074izhux.wav
[293/58949] SKIPPED: tmp0764tb6i.wav
[294/58949] SKIPPED: tmp076dd5i6.wav
[295/58949] SKIPPED: tmp076p30zd.wav
[296/58949] SKIPPED: tmp0772rlhg.wav
[297/58949] SKIPPED: tmp07ap1qr2.wav
[298/58949] SKIPPED: tmp07b2b5h5.wav
[299/58949] SKIPPED: tmp07cy312r.wav
[300/58949] SKIPPED: tmp07ew30qk.wav
[301/58949] SKIPPED: tmp07fldjwz.wav
[302/58949] SKIPPED: tmp07flukgh.wav
[303/58949] SKIPPED: tmp07h3x1sk.wav
[304/58949] SKIPPED: tmp07j2hz4q.wav
[305/58949] SKIPPED: tmp07jhb5g5.wav
[306/58949] SKIPPED: tmp07kb12tl.wav
[307/58949] SKIPPED: tmp07lylcly.wav
[308/58949] SKIPPED: tmp07m1285k.wav
[309/58949] SKIPPED: tmp07m7_7oy.wav
[310/58949] SKIPPED: tmp07mi3myz.wav
[311/58949] SKIPPED: tmp07mlqliy.wav
[312/58949] SKIPPED: tmp07nl8rwl.wav
[313/58949] SKIPPED: tmp07nwlime.wav
[314/58949] SKIPPED: tmp07oty_f_.wav
[315/58949] SKIPPED: tmp07oypuzv.wav
[316/58949] SKIPPED: tmp07oyqrae.wav
[317/58949] SKIPPED: tmp07q56qb1.wav
[318/58949] SKIPPED: tmp07qkdjoa.wav
[319/58949] SKIPPED: tmp07qscngv.wav
[320/58949] SKIPPED: tmp07re0xes.wav
[321/58949] SKIPPED: tmp07vqem69.wav
[322/58949] SKIPPED: tmp07v_3ao7.wav
[323/58949] SKIPPED: tmp07wgts75.wav
[324/58949] SKIPPED: tmp07xuaxkh.wav
[325/58949] SKIPPED: tmp07znitzq.wav
[326/58949] SKIPPED: tmp0800h27q.wav
[327/58949] SKIPPED: tmp080_mo0c.wav
[328/58949] SKIPPED: tmp081kfjko.wav
[329/58949] SKIPPED: tmp081m93c7.wav
[330/58949] SKIPPED: tmp084ap3t8.wav
[331/58949] SKIPPED: tmp084lx94q.wav
[332/58949] SKIPPED: tmp08599088.wav
[333/58949] SKIPPED: tmp085qcq6j.wav
[334/58949] SKIPPED: tmp085vt4eg.wav
[335/58949] SKIPPED: tmp086dexhc.wav
[336/58949] SKIPPED: tmp0894pv1c.wav
[337/58949] SKIPPED: tmp089lpzwd.wav
[338/58949] SKIPPED: tmp08a8xzvc.wav
[339/58949] SKIPPED: tmp08b_utdu.wav
[340/58949] SKIPPED: tmp08d63xg6.wav
[341/58949] SKIPPED: tmp08drf3md.wav
[342/58949] SKIPPED: tmp08dusjtz.wav
[343/58949] SKIPPED: tmp08dwfu_l.wav
[344/58949] SKIPPED: tmp08eha45a.wav
[345/58949] SKIPPED: tmp08en_0xz.wav
[346/58949] SKIPPED: tmp08g1uk21.wav
[347/58949] SKIPPED: tmp08gvdf3q.wav
[348/58949] SKIPPED: tmp08i1mxi_.wav
[349/58949] SKIPPED: tmp08iqb1u1.wav
[350/58949] SKIPPED: tmp08jcwa13.wav
[351/58949] SKIPPED: tmp08k_qj07.wav
[352/58949] SKIPPED: tmp08l92cy0.wav
[353/58949] SKIPPED: tmp08mhtuk5.wav
[354/58949] SKIPPED: tmp08n56_b7.wav
[355/58949] SKIPPED: tmp08o2gzj9.wav
[356/58949] SKIPPED: tmp08pre9z6.wav
[357/58949] SKIPPED: tmp08pus_rh.wav
[358/58949] SKIPPED: tmp08qccw8g.wav
[359/58949] SKIPPED: tmp08qq3sf1.wav
[360/58949] SKIPPED: tmp08rtz6ag.wav
[361/58949] SKIPPED: tmp08saq46x.wav
[362/58949] SKIPPED: tmp08seiorc.wav
[363/58949] SKIPPED: tmp08seq46o.wav
[364/58949] SKIPPED: tmp08sgny_n.wav
[365/58949] SKIPPED: tmp08su48u1.wav
[366/58949] SKIPPED: tmp08suoa_4.wav
[367/58949] SKIPPED: tmp08uet2qj.wav
[368/58949] SKIPPED: tmp08v4sp_x.wav
[369/58949] SKIPPED: tmp08vjlglw.wav
[370/58949] SKIPPED: tmp08vktxhk.wav
[371/58949] SKIPPED: tmp08w142f1.wav
[372/58949] SKIPPED: tmp08webzx_.wav
[373/58949] SKIPPED: tmp08wher5r.wav
[374/58949] SKIPPED: tmp08wpw5jr.wav
[375/58949] SKIPPED: tmp08wwc5n0.wav
[376/58949] SKIPPED: tmp08x682n3.wav
[377/58949] SKIPPED: tmp08xg8opq.wav
[378/58949] SKIPPED: tmp08yebexr.wav
[379/58949] SKIPPED: tmp08z9s53w.wav
[380/58949] SKIPPED: tmp08zdqhlj.wav
[381/58949] SKIPPED: tmp08_5d3ft.wav
[382/58949] SKIPPED: tmp08_c_my4.wav
[383/58949] SKIPPED: tmp092bk_bt.wav
[384/58949] SKIPPED: tmp094cv4cz.wav
[385/58949] SKIPPED: tmp094d22ui.wav
[386/58949] SKIPPED: tmp096zv7zc.wav
[387/58949] SKIPPED: tmp09cc07we.wav
[388/58949] SKIPPED: tmp09d3nvpt.wav
[389/58949] SKIPPED: tmp09drbmy3.wav
[390/58949] SKIPPED: tmp09dyj_9t.wav
[391/58949] SKIPPED: tmp09f1dckb.wav
[392/58949] SKIPPED: tmp09fm0p2n.wav
[393/58949] SKIPPED: tmp09g4u_m6.wav
[394/58949] SKIPPED: tmp09j8g6em.wav
[395/58949] SKIPPED: tmp09k552em.wav
[396/58949] SKIPPED: tmp09kl84pf.wav
[397/58949] SKIPPED: tmp09knxrj9.wav
[398/58949] SKIPPED: tmp09lvd789.wav
[399/58949] SKIPPED: tmp09m7u721.wav
[400/58949] SKIPPED: tmp09n2df4u.wav
[401/58949] SKIPPED: tmp09quo152.wav
[402/58949] SKIPPED: tmp09qxo45e.wav
[403/58949] SKIPPED: tmp09rp3ccb.wav
[404/58949] SKIPPED: tmp09rret_z.wav
[405/58949] SKIPPED: tmp09rsmf2b.wav
[406/58949] SKIPPED: tmp09t2d0p7.wav
[407/58949] SKIPPED: tmp09vvg46d.wav
[408/58949] SKIPPED: tmp09xpb52h.wav
[409/58949] SKIPPED: tmp09xr3233.wav
[410/58949] SKIPPED: tmp09xsjgxy.wav
[411/58949] SKIPPED: tmp09ysdf_6.wav
[412/58949] SKIPPED: tmp09z4fwsg.wav
[413/58949] SKIPPED: tmp09zh0t1j.wav
[414/58949] SKIPPED: tmp09zt89xc.wav
[415/58949] SKIPPED: tmp09zvovcu.wav
[416/58949] SKIPPED: tmp09zxx0rw.wav
[417/58949] SKIPPED: tmp0a03cufp.wav
[418/58949] SKIPPED: tmp0a0g8byu.wav
[419/58949] SKIPPED: tmp0a1m2g01.wav
[420/58949] SKIPPED: tmp0a1otsu7.wav
[421/58949] SKIPPED: tmp0a21h677.wav
[422/58949] SKIPPED: tmp0a2bkyir.wav
[423/58949] SKIPPED: tmp0a2fdku7.wav
[424/58949] SKIPPED: tmp0a3m_534.wav
[425/58949] SKIPPED: tmp0a4kx70n.wav
[426/58949] SKIPPED: tmp0a5azes5.wav
[427/58949] SKIPPED: tmp0a7ifelm.wav
[428/58949] SKIPPED: tmp0a86napo.wav
[429/58949] SKIPPED: tmp0a8csdtr.wav
[430/58949] SKIPPED: tmp0a9lq2sr.wav
[431/58949] SKIPPED: tmp0a9stkrw.wav
[432/58949] SKIPPED: tmp0aak7_9t.wav
[433/58949] SKIPPED: tmp0aba3kgy.wav
[434/58949] SKIPPED: tmp0af3nkwx.wav
[435/58949] SKIPPED: tmp0af8jzlt.wav
[436/58949] SKIPPED: tmp0afy5pxj.wav
[437/58949] SKIPPED: tmp0ag73o2i.wav
[438/58949] SKIPPED: tmp0agfm5dn.wav
[439/58949] SKIPPED: tmp0ahccpuv.wav
[440/58949] SKIPPED: tmp0ahs8_1n.wav
[441/58949] SKIPPED: tmp0ahtxsp5.wav
[442/58949] SKIPPED: tmp0aim246l.wav
[443/58949] SKIPPED: tmp0ale26zv.wav
[444/58949] SKIPPED: tmp0an01swj.wav
[445/58949] SKIPPED: tmp0anbdfvd.wav
[446/58949] SKIPPED: tmp0anfimuw.wav
[447/58949] SKIPPED: tmp0aopf1l7.wav
[448/58949] SKIPPED: tmp0ap58mz3.wav
[449/58949] SKIPPED: tmp0apdlyk_.wav
[450/58949] SKIPPED: tmp0apkah07.wav
[451/58949] SKIPPED: tmp0apsfewu.wav
[452/58949] SKIPPED: tmp0aro0oyg.wav
[453/58949] SKIPPED: tmp0as2demo.wav
[454/58949] SKIPPED: tmp0at6lpb6.wav
[455/58949] SKIPPED: tmp0atrei52.wav
[456/58949] SKIPPED: tmp0atu_huu.wav
[457/58949] SKIPPED: tmp0atyt3_o.wav
[458/58949] SKIPPED: tmp0au6q8m8.wav
[459/58949] SKIPPED: tmp0aw71ck5.wav
[460/58949] SKIPPED: tmp0awe2tny.wav
[461/58949] SKIPPED: tmp0awjx1i1.wav
[462/58949] SKIPPED: tmp0ayul9wt.wav
[463/58949] SKIPPED: tmp0ayyg97o.wav
[464/58949] SKIPPED: tmp0a_eol3p.wav
[465/58949] SKIPPED: tmp0a_hfqyi.wav
[466/58949] SKIPPED: tmp0b0h8_59.wav
[467/58949] SKIPPED: tmp0b49t5k_.wav
[468/58949] SKIPPED: tmp0b4a1kg9.wav
[469/58949] SKIPPED: tmp0b5dy71j.wav
[470/58949] SKIPPED: tmp0b5lgv4b.wav
[471/58949] SKIPPED: tmp0b6srabb.wav
[472/58949] SKIPPED: tmp0b6ta65i.wav
[473/58949] SKIPPED: tmp0b7g5zrt.wav
[474/58949] SKIPPED: tmp0b83jt57.wav
[475/58949] SKIPPED: tmp0b9jmf2x.wav
[476/58949] SKIPPED: tmp0bbnea0_.wav
[477/58949] SKIPPED: tmp0bc9eit9.wav
[478/58949] SKIPPED: tmp0bcczv4x.wav
[479/58949] SKIPPED: tmp0bdnkcmu.wav
[480/58949] SKIPPED: tmp0bfvoiiz.wav
[481/58949] SKIPPED: tmp0bgjc2cv.wav
[482/58949] SKIPPED: tmp0bgzs5tx.wav
[483/58949] SKIPPED: tmp0bi53fjw.wav
[484/58949] SKIPPED: tmp0bjqtk57.wav
[485/58949] SKIPPED: tmp0blin46y.wav
[486/58949] SKIPPED: tmp0blvaa6d.wav
[487/58949] SKIPPED: tmp0bmtnfk3.wav
[488/58949] SKIPPED: tmp0bnwjnmp.wav
[489/58949] SKIPPED: tmp0bny9u_b.wav
[490/58949] SKIPPED: tmp0bn_6ulc.wav
[491/58949] SKIPPED: tmp0bof0srm.wav
[492/58949] SKIPPED: tmp0bpgj4lh.wav
[493/58949] SKIPPED: tmp0bq5i0ay.wav
[494/58949] SKIPPED: tmp0bs3ftfi.wav
[495/58949] SKIPPED: tmp0bshzh8q.wav
[496/58949] SKIPPED: tmp0bswm9z8.wav
[497/58949] SKIPPED: tmp0btlvgq6.wav
[498/58949] SKIPPED: tmp0byd2tdu.wav
[499/58949] SKIPPED: tmp0byqgh0a.wav
[500/58949] SKIPPED: tmp0byrf394.wav
[501/58949] SKIPPED: tmp0bzbxd_t.wav
[502/58949] SKIPPED: tmp0bzpr5rl.wav
[503/58949] SKIPPED: tmp0b__prav.wav
[504/58949] SKIPPED: tmp0c05k2o5.wav
[505/58949] SKIPPED: tmp0c074cv1.wav
[506/58949] SKIPPED: tmp0c1h2pxc.wav
[507/58949] SKIPPED: tmp0c37m02g.wav
[508/58949] SKIPPED: tmp0c4ojelm.wav
[509/58949] SKIPPED: tmp0c4y9pby.wav
[510/58949] SKIPPED: tmp0c59yuky.wav
[511/58949] SKIPPED: tmp0c5fjdbo.wav
[512/58949] SKIPPED: tmp0c6fusjd.wav
[513/58949] SKIPPED: tmp0c8jmmpw.wav
[514/58949] SKIPPED: tmp0cbjr9hc.wav
[515/58949] SKIPPED: tmp0ccymg7j.wav
[516/58949] SKIPPED: tmp0cdik769.wav
[517/58949] SKIPPED: tmp0cd_2zt1.wav
[518/58949] SKIPPED: tmp0cecqv48.wav
[519/58949] SKIPPED: tmp0ced932j.wav
[520/58949] SKIPPED: tmp0cej5326.wav
[521/58949] SKIPPED: tmp0cfdcugb.wav
[522/58949] SKIPPED: tmp0cfgiv3r.wav
[523/58949] SKIPPED: tmp0cg4w66h.wav
[524/58949] SKIPPED: tmp0cj2oh9o.wav
[525/58949] SKIPPED: tmp0cl19u33.wav
[526/58949] SKIPPED: tmp0cl2m5kj.wav
[527/58949] SKIPPED: tmp0cn3f99g.wav
[528/58949] SKIPPED: tmp0cn42f50.wav
[529/58949] SKIPPED: tmp0cnvopui.wav
[530/58949] SKIPPED: tmp0co_kjbp.wav
[531/58949] SKIPPED: tmp0cpbef78.wav
[532/58949] SKIPPED: tmp0cro50wn.wav
[533/58949] SKIPPED: tmp0ct75r6f.wav
[534/58949] SKIPPED: tmp0ctbuy99.wav
